company_name	industry_large_code	industry_large_name	industry_mid_code	industry_mid_name
경동도시가스	I01	에너지·유틸리티	I01-1	전력·가스·환경유틸리티
골프존	I09	생활용품·화장품·패션·스포츠	I09-2	화장품·퍼스널케어·패션·스포츠·유아용품
기아	I04	자동차·모빌리티·부품·타이어	I04-1	완성차·모빌리티 OEM
드림어스컴퍼니	I14	인터넷·포털·디지털콘텐츠·게임·엔터·미디어·광고	I14-2	게임·OTT·엔터·방송·신문·광고·디지털콘텐츠
삼성금융연수원	I20	교육·출판·전문서비스·B2B·비영리	I20-1	교육·에듀테크·출판·교육콘텐츠
삼성전자	I03	전기·전자·반도체·배터리	I03-1	전자·가전·디스플레이·전자부품
삼성화재	I17	금융 – 보험	I17-2	손해보험·재보험·보험서비스
신한라이프	I17	금융 – 보험	I17-1	생명보험
아이센스	I19	헬스케어·제약·바이오·의료	I19-1	제약·바이오·진단·의료기기
와이투솔루션	I13	IT서비스·SI·클라우드·SW	I13-1	SI·IT아웃소싱·금융/그룹IT·IT운영
이마트	I10	리테일·오프라인 유통·호텔·레저	I10-1	오프라인리테일·마트·편의점·전문점·프랜차이즈
이수	I02	소재·화학·금속	I02-1	화학·섬유·첨단소재
이수시스템	I13	IT서비스·SI·클라우드·SW	I13-1	SI·IT아웃소싱·금융/그룹IT·IT운영
진흥기업	I06	건설·엔지니어링·부동산	I06-1	건축·토목·플랜트 시공(EPC)
코오롱베니트	I13	IT서비스·SI·클라우드·SW	I13-1	SI·IT아웃소싱·금융/그룹IT·IT운영
포스코디엑스	I13	IT서비스·SI·클라우드·SW	I13-1	SI·IT아웃소싱·금융/그룹IT·IT운영
하나은행	I15	금융 – 은행·저축은행	I15-1	시중·지방·인터넷은행
하이케어솔루션	I19	헬스케어·제약·바이오·의료	I19-2	병원·의료기관·검진센터·디지털헬스케어
현대오토에버	I13	IT서비스·SI·클라우드·SW	I13-1	SI·IT아웃소싱·금융/그룹IT·IT운영
현대자동차	I04	자동차·모빌리티·부품·타이어	I04-1	완성차·모빌리티 OEM
지에스건설	I06	건설·엔지니어링·부동산	I06-1	건축·토목·플랜트 시공(EPC)
케이비국민은행	I15	금융 – 은행·저축은행	I15-1	시중·지방·인터넷은행
케이비국민카드	I18	금융 – 카드·캐피탈·핀테크·지주	I18-1	카드·캐피탈·리스·할부·대부
케이비증권	I16	금융 – 증권·자산운용·투자은행	I16-1	증권사·브로커리지·IB
엘지전자	I03	전기·전자·반도체·배터리	I03-1	전자·가전·디스플레이·전자부품
에스케이	I01	에너지·유틸리티	I01-2	정유·연료·에너지트레이딩
엔에이치투자증권	I16	금융 – 증권·자산운용·투자은행	I16-1	증권사·브로커리지·IB
포스코홀딩스	I02	소재·화학·금속	I02-2	철강·비철금속·금속가공
에스케이씨앤씨	I13	IT서비스·SI·클라우드·SW	I13-1	SI·IT아웃소싱·금융/그룹IT·IT운영
고려해운	I07	물류·운송·해운·항공	I07-1	해운·항공·철도·대형운송
교보생명보험	I17	금융 – 보험	I17-1	생명보험
미라콤아이앤씨	I13	IT서비스·SI·클라우드·SW	I13-1	SI·IT아웃소싱·금융/그룹IT·IT운영
비바리퍼블리카	I18	금융 – 카드·캐피탈·핀테크·지주	I18-2	핀테크·PG·CB·금융지주·디지털자산·보증기관
아시아나항공	I07	물류·운송·해운·항공	I07-1	해운·항공·철도·대형운송
와이즈버즈	I14	인터넷·포털·디지털콘텐츠·게임·엔터·미디어·광고	I14-2	게임·OTT·엔터·방송·신문·광고·디지털콘텐츠
우리에프아이에스	I13	IT서비스·SI·클라우드·SW	I13-1	SI·IT아웃소싱·금융/그룹IT·IT운영
